Wall Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Assembly Code,Assembly Description,Base Constraint,Family and Type,Length,Structural Material,Top Constraint,Type,Width
931 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",16' - 3 1/8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
931 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",16' - 3 1/8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
952 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",16' - 7 3/8",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
657 SF,B2010,Exterior Walls,Level 2,Basic Wall: EXT W - 6",15' - 5 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
657 SF,B2010,Exterior Walls,Level 2,Basic Wall: EXT W - 6",15' - 5 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
875 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",15' - 5 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
875 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",15' - 5 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
875 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",15' - 5 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
875 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",15' - 5 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
875 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",15' - 5 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
875 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",15' - 5 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
875 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",15' - 5 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
875 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",15' - 5 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
875 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",15' - 5 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
875 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",15' - 5 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
825 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",14' - 7 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
825 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",14' - 7 19/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
